	D3T0_sorted	D3T3_sorted	D3T7_sorted	D3T14_sorted	D3T0_unsorted	D3T3_unsorted	D3T7_unsorted	D3T14_unsorted
ALS2CR12	6	1	4	3	2	2	1	1
ALX1	2	1	1	2	2	9	3	2
ALX3	1	0	0	0	1	0	0	0
ALX4	1	0	0	1	0	0	1	0
ALYREF	3	2	1	4	0	1	2	1
AMACR	144	28	48	29	264	153	91	88
AMBN	0	0	0	0	0	0	0	0
AMBP	1	0	0	0	0	0	0	0
AMBRA1	14	18	39	24	8	17	10	11
AMD1	101	46	80	80	139	159	83	140
AMDHD1	0	0	0	0	0	0	0	0
AMDHD2	5	2	2	3	13	19	4	6
AMELX	0	0	0	0	0	0	0	0
AMELY	0	0	0	0	0	0	0	0
AMER1	0	3	3	1	0	3	2	0
AMER2	0	0	0	0	0	0	0	0
AMER3	11	12	13	16	4	5	5	4
AMFR	54	29	98	52	49	80	70	42
AMH	0	0	0	0	0	0	1	0
AMHR2	0	0	0	0	0	0	0	0
AMICA1	0	0	0	0	0	0	0	0
AMIGO1	1	0	0	0	0	0	0	3
AMIGO2	13	11	17	18	12	14	35	26
AMIGO3	6	3	0	0	0	0	1	1
AMMECR1	33	22	19	8	38	45	23	33
AMMECR1L	15	5	8	7	6	11	5	13
AMN	0	0	0	0	0	0	0	0
AMN1	14	7	8	11	17	22	17	29
AMOT	2	0	1	0	3	0	1	1
AMOTL1	116	41	32	44	96	87	60	67
AMOTL2	15	8	14	23	11	20	10	21
AMPD1	0	0	0	0	0	0	0	0
AMPD2	45	19	10	11	86	41	15	28
AMPD3	8	1	1	2	7	1	1	2
AMPH	32	25	32	23	113	76	34	51
AMT	5	6	3	5	5	2	2	5
AMTN	0	0	0	0	0	0	0	0
AMY1A	63	10	31	38	334	59	27	32
AMY1B	13	7	5	3	225	10	4	7
AMY1C	13	4	6	5	260	12	8	2
AMY2A	1	0	0	2	0	0	0	0
AMY2B	4	5	8	6	2	6	2	2
AMZ1	10	4	4	8	8	2	2	2
AMZ2	267	52	81	86	398	192	155	176
AMZ2P1	51	15	29	24	89	58	49	56
ANAPC1	86	25	48	45	51	41	41	36
ANAPC10	55	22	32	33	52	49	62	63
ANAPC11	1611	377	589	591	2046	1530	1304	1359
ANAPC13	120	56	87	118	83	160	135	214
ANAPC15	4	0	2	4	9	6	3	7
ANAPC16	426	234	390	367	384	483	450	489
ANAPC1P1	23	8	31	22	12	12	9	11
ANAPC2	2	0	2	0	5	3	3	0
ANAPC4	48	22	20	23	46	43	14	29
ANAPC5	386	149	221	234	475	480	284	310
ANAPC7	107	50	49	46	179	113	87	84
ANG	17	18	35	30	16	48	49	72
ANGEL1	13	3	6	5	5	6	4	2
ANGEL2	39	40	50	37	43	36	28	33
ANGPT1	31	69	155	208	39	214	208	339
ANGPT2	30	29	35	32	18	6	10	16
ANGPT4	0	0	0	0	0	0	0	0
ANGPTL1	15	35	93	124	15	85	111	152
ANGPTL2	56	81	102	138	76	266	208	239
ANGPTL3	2	3	1	1	0	0	0	0
ANGPTL4	4	91	155	246	0	215	193	392
ANGPTL5	0	0	0	0	0	0	1	0
ANGPTL6	8	5	5	3	7	7	3	8
ANGPTL7	0	0	0	1	0	0	0	1
ANHX	0	0	0	0	0	0	0	0
ANK1	1	0	0	0	0	0	0	0
ANK2	51	9	5	7	38	10	10	26
ANK3	8	0	0	0	10	0	0	1
ANKAR	11	10	8	18	5	3	6	9
ANKDD1A	10	6	6	6	4	3	3	6
ANKDD1B	1	0	0	1	0	0	1	0
ANKEF1	4	7	10	12	1	4	3	6
ANKFN1	0	0	1	0	0	0	0	2
ANKFY1	25	25	29	17	31	37	21	21
ANKH	71	32	54	29	72	44	34	36
ANKHD1	77	42	55	78	109	119	45	75
ANKHD1-EIF4EBP3	88	63	49	85	120	175	79	96
ANKIB1	76	30	28	31	75	38	35	32
ANKK1	6	5	14	5	3	10	5	2
ANKLE1	35	27	55	52	13	11	12	11
ANKLE2	74	29	29	18	48	22	17	21
ANKMY1	1	1	0	1	1	2	2	2
ANKMY2	44	12	7	24	65	40	24	39
ANKRA2	27	26	38	29	21	35	29	39
ANKRD1	21	5	38	30	18	32	33	25
ANKRD10	30	39	41	37	8	37	22	20
ANKRD11	1303	373	513	434	1353	787	549	611
ANKRD12	147	118	175	157	121	152	122	121
ANKRD13A	100	22	26	20	64	39	28	40
ANKRD13B	1	2	1	4	1	2	1	0
ANKRD13C	62	30	28	38	67	74	37	46
ANKRD13D	11	5	8	8	9	4	1	5
ANKRD16	1095	403	988	905	1039	1102	1445	1333
ANKRD17	40	29	45	25	53	47	39	52
ANKRD18A	1	1	1	0	1	0	1	0
ANKRD18B	4	1	2	1	0	0	0	1
ANKRD18DP	0	0	0	0	0	0	0	0
ANKRD19P	43	20	50	51	31	30	71	48
ANKRD2	0	0	0	0	1	0	1	1
ANKRD20A1	2	0	2	3	0	0	0	1
ANKRD20A11P	0	0	0	0	0	0	0	0
ANKRD20A12P	7	4	8	11	3	4	5	8
ANKRD20A19P	19	16	25	22	3	5	5	10
ANKRD20A2	3	1	1	0	0	0	1	1
ANKRD20A3	0	0	2	0	0	0	0	0
ANKRD20A4	2	0	2	0	1	0	1	0
ANKRD20A5P	3	1	5	0	0	3	0	2
ANKRD20A8P	2	3	5	4	0	0	1	2
ANKRD20A9P	343	315	523	386	122	117	122	134
ANKRD22	4	4	5	3	5	6	2	5
ANKRD23	0	1	0	2	0	0	0	3
ANKRD24	0	0	0	0	1	2	0	0
ANKRD26	98	65	108	105	96	92	70	68
ANKRD26P1	1	0	0	0	0	0	0	0
ANKRD26P3	0	0	0	0	0	0	1	0
ANKRD27	15	7	9	12	21	7	11	6
ANKRD28	31	63	44	36	10	42	24	28
ANKRD29	2	0	2	2	0	1	0	0
ANKRD30A	0	0	0	0	0	0	0	0
ANKRD30B	1	0	0	2	6	0	0	0
ANKRD30BL	0	0	0	0	0	0	0	0
ANKRD30BP2	8	13	12	14	1	1	4	2
ANKRD30BP3	0	0	0	0	0	0	0	0
ANKRD31	3	0	7	3	0	0	2	1
ANKRD32	27	22	40	21	25	30	21	23
ANKRD33	0	0	0	0	0	0	0	0
ANKRD33B	11	6	6	8	7	9	1	13
ANKRD34A	2	0	3	0	0	2	3	2
ANKRD34B	0	0	0	0	0	0	0	0
ANKRD34C	1	0	0	1	1	0	0	0
ANKRD35	3	13	10	14	25	17	19	22
ANKRD36	303	169	230	136	122	95	63	46
ANKRD36B	293	158	263	182	143	87	68	69
ANKRD36BP1	19	11	39	42	13	19	28	26
ANKRD36BP2	16	19	17	17	9	3	6	3
ANKRD37	15	5	7	7	19	21	24	9
ANKRD39	33	25	32	37	45	38	46	44
ANKRD40	44	25	45	48	18	23	28	27
ANKRD42	15	12	8	12	25	19	18	29
ANKRD44	35	15	38	32	9	21	14	18
ANKRD45	63	26	37	34	62	30	18	21
ANKRD46	13	0	6	18	7	29	9	17
ANKRD49	43	39	69	49	38	47	43	46
ANKRD50	42	39	45	27	34	51	20	33
ANKRD52	9	5	6	7	5	0	2	3
ANKRD53	0	1	1	2	2	0	0	0
ANKRD54	10	5	3	2	7	6	5	8
ANKRD55	0	0	0	0	1	0	0	0
ANKRD6	1	5	5	4	3	5	1	4
ANKRD61	1	1	0	0	0	0	0	0
ANKRD62	40	40	56	34	21	19	10	9
ANKRD62P1-PARP4P3	13	8	20	10	0	2	3	5
ANKRD63	0	0	0	0	0	0	0	0
ANKRD65	7	4	5	6	0	6	4	3
ANKRD66	1	0	1	0	0	0	0	0
ANKRD7	3	6	1	2	3	3	1	0
ANKRD9	0	0	0	0	0	0	0	0
ANKS1A	7	8	6	3	4	7	6	7
ANKS1B	5	3	4	9	4	4	2	4
ANKS3	45	27	47	40	42	33	30	26
ANKS4B	29	20	69	39	13	12	16	15
ANKS6	13	9	14	7	24	12	4	7
ANKUB1	0	0	0	0	0	0	0	0
ANKZF1	20	13	29	23	36	54	22	24
ANLN	35	1	0	0	45	1	5	1
ANO1	1	0	0	0	0	0	0	0
ANO10	53	21	28	39	35	55	37	50
ANO2	1	0	0	0	2	0	0	0
ANO3	0	0	1	0	0	0	2	0
ANO4	1	1	2	0	1	4	3	2
ANO5	1	0	4	4	0	0	0	1
ANO6	87	44	56	48	77	59	49	85
ANO7	12	6	13	19	6	6	5	10
ANO8	3	4	2	3	1	1	1	1
ANO9	0	0	1	0	0	0	0	0
ANP32A	75	27	24	28	101	66	56	84
ANP32A-IT1	35	48	70	55	23	32	18	29
ANP32AP1	32	5	6	11	26	16	24	28
ANP32B	192	36	31	56	310	137	83	109
ANP32C	11	2	4	9	13	7	12	18
ANP32D	3	0	1	4	7	2	4	3
ANP32E	215	16	42	50	301	55	52	67
ANPEP	52	27	42	30	21	75	33	62
ANTXR1	132	83	133	69	95	198	161	129
ANTXR2	83	171	283	235	49	391	292	306
ANXA1	1643	248	459	609	1728	733	767	990
ANXA10	1	1	0	0	4	0	0	0
ANXA11	104	33	27	66	127	83	58	85
ANXA13	2	5	3	0	2	7	5	8
ANXA2	22963	3848	6092	5577	51639	15922	14623	13173
ANXA2P1	705	84	318	314	977	337	396	370
ANXA2P2	5629	1043	1819	1754	10181	3512	3163	3003
ANXA2P3	1976	301	724	655	3426	1134	1035	897
ANXA2R	16	10	15	15	14	23	13	3
ANXA3	20	0	0	1	15	1	0	0
ANXA4	174	67	98	65	173	240	126	146
ANXA5	2514	752	949	954	3297	2316	1742	2004
ANXA6	240	69	145	180	340	246	319	363
ANXA7	298	83	87	141	363	262	170	247
ANXA8	1	0	0	0	0	0	0	0
ANXA8L1	0	0	0	0	0	0	0	0
ANXA8L2	0	0	0	0	0	0	0	0
ANXA9	0	0	0	0	0	0	1	1
AOAH	0	0	0	0	1	0	0	0
AOAH-IT1	0	0	0	0	0	0	0	0
AOC1	0	0	0	0	0	0	0	0
AOC2	1	0	2	10	0	1	3	10
AOC3	0	2	7	20	0	1	3	32
AOC4P	13	8	25	15	3	2	5	13
AOX1	10	19	29	34	5	46	29	53
AOX2P	6	4	9	9	0	1	0	2
AP1AR	32	11	12	21	38	29	12	27
AP1B1	12	5	7	12	15	10	4	7
AP1B1P1	1	2	3	3	1	0	1	2
AP1G1	103	35	65	47	91	65	30	51
AP1G2	25	15	16	19	12	9	16	6
AP1M1	76	42	62	50	87	165	90	104
AP1M2	1	0	1	1	1	0	0	0
AP1S1	2	0	0	1	5	6	3	3
AP1S2	10	9	3	10	7	14	6	8
AP1S3	57	43	111	77	26	24	21	21
AP2A1	6	3	1	2	3	2	9	6
AP2A2	18	6	9	9	17	15	16	7
AP2B1	150	17	43	38	223	109	61	78
AP2M1	550	67	105	140	559	367	177	275
AP2S1	758	162	386	397	879	831	845	776
AP3B1	144	60	87	84	218	156	109	119
AP3B2	0	0	0	3	0	0	2	5
AP3D1	46	9	20	22	79	50	35	32
AP3M1	78	63	81	70	57	84	50	79
AP3M2	58	18	15	15	64	43	30	43
AP3S1	257	64	119	131	262	286	227	294
AP3S2	165	98	136	135	157	176	145	219
AP4B1	38	10	15	24	57	46	19	33
AP4B1-AS1	6	4	7	11	3	3	0	1
AP4E1	35	37	49	29	14	32	10	24
AP4M1	71	6	17	14	119	48	23	19
AP4S1	147	130	269	197	81	51	58	69
AP5B1	23	25	49	32	9	15	13	17
AP5M1	47	17	26	31	63	62	29	39
AP5S1	52	24	37	31	102	58	40	58
AP5Z1	51	27	48	41	72	43	33	37
APAF1	83	65	99	88	43	39	24	40
APBA1	0	2	0	1	2	0	0	1
APBA2	0	1	0	0	0	0	0	0
APBA3	10	7	3	3	13	21	6	8
APBB1	6	4	6	3	15	9	2	5
APBB1IP	78	34	54	69	66	108	111	147
APBB2	188	91	190	173	148	224	231	228
APBB3	5	8	8	3	14	2	3	16
APC	49	23	29	26	61	39	18	46
APC2	1	1	1	0	1	0	0	0
APCDD1	1	22	39	53	0	37	30	63
APCDD1L	33	1	0	1	28	12	2	2
APCDD1L-AS1	73	6	2	1	60	7	4	2
APCS	0	0	0	0	0	0	0	0
APEH	28	12	22	14	78	84	45	56
APEX1	684	292	304	333	874	929	506	602
APEX2	43	14	14	16	49	62	28	39
APH1A	8	1	6	5	4	8	5	5
APH1B	66	20	30	41	70	42	44	46
API5	79	38	36	40	87	66	43	63
APIP	63	25	31	48	43	36	52	67
APITD1	146	33	64	60	165	167	115	115
APITD1-CORT	128	26	45	47	146	155	92	98
APLF	24	3	13	7	26	18	8	13
APLN	0	1	0	0	0	1	1	0
APLNR	0	0	0	0	0	0	0	0
APLP1	0	0	0	0	1	0	0	0
APLP2	138	63	110	83	124	229	156	217
APMAP	167	71	72	97	273	255	170	318
APOA1	1	0	0	0	1	0	0	0
APOA1BP	101	22	37	56	138	147	110	85
APOA2	0	0	0	0	0	0	0	0
APOA4	0	0	0	0	0	0	0	0
APOA5	0	0	0	0	0	0	0	0
APOB	0	1	0	1	0	2	3	2
APOBEC1	0	0	0	0	0	0	0	0
APOBEC2	0	0	0	1	0	0	0	0
APOBEC3A	17	9	10	17	3	5	4	5
APOBEC3A_B	4	0	0	1	7	1	0	1
APOBEC3B	13	1	0	4	8	6	0	3
APOBEC3C	195	35	39	50	238	110	87	116
APOBEC3D	58	29	42	70	39	36	36	24
APOBEC3F	59	67	87	74	48	44	33	31
APOBEC3G	18	1	1	1	16	3	5	3
APOBEC3H	5	1	5	7	1	1	2	3
APOBEC4	0	0	0	0	0	0	0	0
APOBR	5	0	5	4	2	5	0	4
APOC1	8	10	23	64	4	7	48	116
APOC1P1	11	10	15	19	14	11	20	37
APOC2	0	0	0	0	0	0	0	0
APOC3	0	0	0	0	0	0	0	0
APOC4	0	2	3	2	2	0	0	1
APOC4-APOC2	1	1	3	3	1	0	1	0
APOD	15	45	169	245	3	152	267	339
APOE	0	2	11	30	0	1	26	76
APOF	7	5	15	9	0	1	4	6
APOH	0	0	0	0	0	0	0	0
APOL1	70	50	97	75	67	82	39	51
APOL2	89	63	89	80	140	153	117	119
APOL3	23	17	24	20	26	33	29	47
APOL4	15	26	43	42	9	30	41	55
APOL5	0	0	1	1	0	0	1	0
APOL6	208	82	132	141	143	72	79	145
APOLD1	28	23	54	33	15	15	14	22
APOM	12	2	7	9	19	11	14	14
APOO	62	10	18	8	92	28	45	59
APOOL	126	109	179	134	151	174	132	171
APOOP5	11	1	3	4	8	4	4	10
APOPT1	194	48	81	89	274	156	146	155
APP	279	59	49	77	525	271	124	147
APPBP2	55	12	27	34	70	51	41	32
APPL1	138	68	55	86	191	120	81	108
APPL2	66	43	64	52	44	98	46	60
APRT	248	65	104	116	442	302	223	250
APTX	16	5	7	7	11	9	9	19
AQP1	1	0	0	0	0	0	2	2
AQP10	0	0	0	0	0	0	0	0
AQP11	2	1	0	3	3	3	0	6
AQP12A	0	0	0	0	0	0	0	0
AQP12B	0	0	0	0	0	0	0	0
AQP2	0	0	0	0	0	0	0	0
AQP3	1	0	1	7	3	2	6	10
AQP4	0	0	0	0	0	0	0	0
AQP4-AS1	13	13	14	17	5	8	4	6
AQP5	0	0	0	0	0	0	0	0
AQP6	6	13	12	18	9	5	7	7
AQP7	0	0	17	88	0	2	54	178
AQP7P1	0	3	23	73	0	2	25	93
AQP7P3	1	1	3	14	1	1	7	23
AQP8	0	0	0	0	0	0	0	0
AQP9	0	0	0	0	0	0	0	0
AQPEP	2	0	6	6	0	0	5	10
AQR	34	22	23	17	29	32	30	23
AR	13	21	17	15	6	21	14	20
ARAF	55	19	20	31	31	27	28	43
ARAP1	31	6	8	6	36	16	10	10
ARAP2	0	0	0	0	0	0	0	0
ARAP3	0	0	1	0	0	0	1	0
ARC	1	0	0	0	2	0	0	0
ARCN1	171	80	113	99	157	98	87	107
AREG	0	5	37	33	0	14	45	50
AREL1	25	11	7	19	5	13	14	9
ARF1	438	143	180	175	875	629	317	466
ARF3	35	10	7	18	44	21	15	23
ARF4	1856	369	563	593	2641	1427	1218	1333
ARF5	65	12	29	30	64	60	24	31
ARF6	73	19	37	41	62	38	36	23
ARFGAP1	78	31	41	38	150	74	47	41
ARFGAP2	55	24	32	33	80	77	41	63
ARFGAP3	235	64	110	100	244	198	106	128
ARFGEF1	50	30	41	23	42	28	20	30
ARFGEF2	8	14	14	12	13	15	18	16
ARFIP1	97	41	55	62	106	109	80	74
ARFIP2	68	45	109	61	29	29	21	29
ARFRP1	3	0	0	0	7	2	0	2
ARG1	0	0	0	0	0	0	0	0
ARG2	50	15	33	35	63	48	61	101
ARGFX	67	69	125	93	34	21	9	37
ARGFXP2	3	2	3	2	1	0	4	1
ARGLU1	236	153	223	162	245	181	168	137
ARHGAP1	174	79	104	101	179	196	144	156
ARHGAP10	20	13	10	12	19	13	14	12
ARHGAP11A	38	22	17	15	28	5	6	5
ARHGAP11B	15	4	4	4	14	2	2	0
ARHGAP12	99	32	39	44	87	96	64	100
ARHGAP15	0	0	0	0	0	0	0	0
ARHGAP17	16	9	13	11	15	25	17	9
ARHGAP18	162	39	45	59	168	104	61	90
ARHGAP19	21	7	4	6	18	7	2	9
ARHGAP19-SLIT1	16	2	3	2	8	3	2	3
ARHGAP20	4	3	9	35	2	8	12	20
ARHGAP21	46	20	41	21	28	31	13	21
ARHGAP22	88	7	8	6	68	33	18	17
ARHGAP23	4	3	2	4	5	3	2	3
ARHGAP24	40	25	31	26	39	47	31	9
ARHGAP25	0	0	0	0	2	0	0	0
ARHGAP26	40	45	61	48	40	11	22	15
ARHGAP26-AS1	0	0	0	0	0	0	0	0
ARHGAP27	1	0	0	0	0	1	0	0
ARHGAP28	10	5	6	4	16	9	6	13
ARHGAP29	100	44	47	82	37	124	73	111
ARHGAP30	0	0	0	1	1	0	1	0
ARHGAP31	43	18	15	20	22	8	11	19
ARHGAP32	54	21	33	18	61	29	25	31
ARHGAP33	1	0	0	0	1	0	0	0
ARHGAP35	57	25	21	23	35	28	16	28
ARHGAP36	0	0	0	0	0	0	0	0
ARHGAP39	1	0	1	2	1	0	0	0
ARHGAP4	0	0	2	0	0	0	0	1
ARHGAP40	0	0	0	0	0	0	0	0
ARHGAP42	4	1	1	1	0	1	0	1
ARHGAP44	0	0	0	1	0	0	0	1
ARHGAP5	103	53	76	74	67	94	79	89
ARHGAP5-AS1	6	3	9	16	1	10	11	12
ARHGAP6	0	3	4	2	0	2	0	0
ARHGAP8	0	3	6	3	0	1	1	2
ARHGAP9	1	0	1	0	2	0	0	0
ARHGDIA	18	0	3	6	20	10	5	12
ARHGDIB	5	3	7	7	16	2	19	19
ARHGDIG	0	0	0	0	0	0	0	0
ARHGEF1	2	1	3	4	6	1	0	2
ARHGEF10	28	13	18	12	14	27	11	18
ARHGEF10L	5	0	3	6	0	5	2	0
ARHGEF11	8	4	9	3	7	4	5	12
ARHGEF12	88	36	34	24	60	46	25	33
ARHGEF15	0	0	0	0	0	0	0	0
ARHGEF16	0	0	0	0	0	0	0	0
ARHGEF17	8	8	11	8	9	9	7	9
ARHGEF18	19	5	9	7	20	17	8	14
ARHGEF19	6	14	12	9	28	26	16	20
ARHGEF2	53	11	15	5	41	16	13	23
ARHGEF25	3	1	3	0	3	1	0	0
ARHGEF26	23	23	52	42	16	20	11	19
ARHGEF26-AS1	60	54	97	71	11	16	14	30
ARHGEF28	15	2	2	1	24	5	0	4
ARHGEF3	4	4	3	5	3	3	3	8
ARHGEF3-AS1	0	0	0	0	0	0	0	0
ARHGEF33	1	0	5	2	3	1	1	0
ARHGEF34P	0	0	0	5	0	0	0	1
ARHGEF35	15	0	3	6	24	1	3	5
ARHGEF37	0	0	0	0	0	0	0	0
ARHGEF38	9	2	2	5	2	2	2	3
ARHGEF38-IT1	0	0	0	0	0	0	0	0
ARHGEF39	69	44	88	65	41	51	68	68
ARHGEF4	6	2	0	2	3	1	2	0
ARHGEF40	44	12	14	24	52	30	22	24
ARHGEF5	17	2	1	6	27	2	3	9
ARHGEF6	16	9	6	12	10	7	10	9
ARHGEF7	81	53	113	76	119	113	96	121
ARHGEF9	35	18	18	24	22	25	22	22
ARID1A	20	7	6	6	12	6	11	10
ARID1B	48	11	32	28	28	26	17	17
ARID2	35	16	12	11	11	21	17	13
ARID3A	5	3	3	1	1	2	0	2
ARID3B	1	1	2	0	4	3	0	4
ARID3C	0	0	0	0	0	0	0	0
ARID4A	69	38	59	47	76	68	54	46
ARID4B	294	143	202	206	322	373	224	270
ARID5A	16	5	3	2	29	12	10	4
ARID5B	826	323	493	482	983	1109	748	693
ARIH1	24	23	10	16	14	18	12	15
ARIH2	114	49	88	74	155	137	95	132
ARIH2OS	27	21	43	34	25	22	18	18
ARL1	328	77	117	123	385	310	216	220
ARL10	2	0	1	0	0	0	0	1
ARL11	22	23	40	23	2	7	5	13
ARL13A	0	0	0	0	0	0	0	0
ARL13B	129	38	65	75	196	197	166	183
ARL14	0	0	0	0	0	0	0	0
ARL14EP	170	71	102	106	288	223	188	208
ARL14EPL	0	0	0	0	0	0	0	0
ARL15	45	16	8	13	46	29	29	25
ARL16	98	70	94	78	131	96	74	82
ARL17A	53	27	61	43	36	37	38	42
ARL17B	14	2	19	14	18	7	16	16
ARL2	114	48	63	84	124	179	141	221
ARL2-SNX15	12	11	10	17	11	18	15	30
ARL2BP	154	49	56	67	259	169	116	140
ARL3	623	100	116	146	850	377	314	275
ARL4A	116	18	54	51	139	51	110	76
ARL4C	25	12	4	1	28	9	3	2
ARL4D	25	7	18	9	40	37	23	16
ARL5A	40	26	27	26	28	45	26	33
ARL5B	5	5	1	4	2	4	4	3
ARL5C	0	0	0	0	0	0	0	0
ARL6	8	5	8	9	8	8	12	7
ARL6IP1	347	125	165	260	351	316	297	431
ARL6IP4	268	65	84	108	399	266	185	227
ARL6IP5	661	445	649	617	585	1415	983	1214
ARL6IP6	23	10	13	16	15	17	15	17
ARL8A	0	4	1	0	0	0	2	0
ARL8B	111	54	73	59	165	166	89	114
ARL9	4	0	0	1	5	0	3	1
ARMC1	72	29	51	37	93	88	62	73
ARMC10	37	28	46	41	30	31	17	20
ARMC12	0	1	1	1	2	3	0	3
ARMC2	10	6	9	6	4	5	2	7
ARMC3	0	0	0	0	0	0	0	0
ARMC4	2	0	2	0	0	1	1	0
ARMC5	6	3	7	9	2	6	1	1
ARMC6	12	4	10	8	37	20	20	17
ARMC7	15	8	8	4	16	13	7	7
ARMC8	45	46	72	47	55	88	50	72
ARMC9	136	81	124	87	361	60	61	48
ARMCX1	20	7	23	11	26	35	22	24
ARMCX2	38	13	16	24	67	28	24	25
ARMCX3	213	67	77	89	272	216	201	175
ARMCX4	27	13	21	6	14	6	11	10
ARMCX5	21	9	12	7	26	28	16	17
ARMCX5-GPRASP2	16	5	9	3	15	9	9	11
ARMCX6	192	28	48	40	303	124	90	83
ARMS2	2	0	0	0	0	1	0	0
ARNT	27	23	39	19	27	40	22	32
ARNT2	7	5	2	3	2	6	3	6
ARNTL	28	24	10	22	21	48	16	43
ARNTL2	58	30	77	67	32	22	21	20
ARPC1A	620	145	173	159	893	602	397	381
ARPC1B	581	88	113	113	822	319	208	182
ARPC2	2289	288	532	529	3699	1320	1410	1230
ARPC3	1355	285	355	383	1824	885	795	786
ARPC4	164	33	73	62	195	132	129	93
ARPC4-TTLL3	39	18	36	23	9	16	17	4
ARPC5	1224	187	312	272	1881	969	733	796
ARPC5L	121	18	15	24	137	61	52	57
ARPP19	138	80	98	115	183	172	148	157
ARPP21	1	0	0	0	0	0	0	0
ARR3	0	2	0	0	0	1	0	1
ARRB1	4	3	6	4	18	5	3	13
ARRB2	1	1	2	1	0	3	0	1
ARRDC1	3	1	2	3	7	4	2	4
ARRDC2	1	6	7	4	2	2	5	8
ARRDC3	22	15	23	27	18	19	24	20
ARRDC3-AS1	19	12	32	23	1	10	6	7
ARRDC4	11	2	9	7	11	10	8	9
ARRDC5	2	0	1	0	1	0	0	0
ARSA	211	118	279	277	155	230	175	142
ARSB	25	22	46	23	11	22	21	13
ARSD	31	27	59	41	39	44	14	26
ARSE	1	0	0	0	2	0	1	1
ARSF	3	7	15	10	2	3	1	3
ARSG	1	5	2	6	4	11	7	1
ARSH	0	0	0	0	0	0	0	0
ARSI	8	0	0	0	18	0	1	1
ARSJ	22	9	11	13	39	30	11	13
ARSK	48	27	53	44	65	56	44	66
ART1	1	0	0	0	0	0	0	0
ART3	0	0	1	0	0	1	0	1
ART4	0	2	0	0	0	0	0	1
ART5	1	0	0	0	1	0	0	0
ARTN	0	1	0	0	0	0	0	0
ARV1	22	22	8	23	55	41	28	40
ARVCF	1	0	0	0	0	0	0	0
ARX	0	0	0	0	0	0	0	0
AS3MT	24	25	43	37	16	10	11	5
ASAH1	138	162	165	217	122	526	235	417
ASAH2	7	2	1	3	10	1	1	1
ASAH2B	6	1	0	2	4	0	1	3
ASAP1	103	56	75	24	80	56	40	39
ASAP1-IT1	5	3	8	0	0	3	1	2
ASAP2	26	13	18	12	9	21	17	9
ASAP3	10	15	17	8	18	24	15	15
ASB1	27	8	5	8	35	23	7	13
ASB10	0	0	0	0	0	0	0	0
ASB11	26	13	45	23	17	13	5	17
ASB12	0	0	0	0	0	0	0	1
ASB13	21	10	28	25	28	41	36	57
ASB14	4	6	6	1	2	2	3	1
ASB15	0	0	0	0	0	0	0	0
ASB16	18	8	28	14	7	6	5	7
ASB16-AS1	10	17	16	17	13	1	10	10
ASB17	0	0	0	0	0	0	0	0
ASB18	0	0	0	0	0	0	0	0
ASB2	0	0	0	0	0	0	0	0
ASB3	49	20	27	31	71	57	46	40
ASB4	7	3	5	2	0	0	2	2
ASB5	0	0	0	0	1	0	0	0
ASB6	273	121	150	119	256	144	117	131
ASB7	17	5	10	5	10	8	2	4
ASB8	101	55	67	59	148	110	74	90
ASB9	0	0	1	0	1	0	3	0
ASB9P1	0	0	0	0	1	0	0	0
ASCC1	96	36	57	60	127	112	107	80
ASCC2	54	10	26	31	102	40	25	43
ASCC3	173	55	80	91	130	100	119	115
ASCL1	0	0	0	0	0	0	0	0
ASCL2	0	0	0	0	0	0	0	0
ASCL3	0	0	0	0	0	0	0	0
ASCL4	0	0	0	0	0	0	0	0
ASCL5	0	0	0	0	0	0	0	0
ASF1A	108	31	37	49	75	63	61	55
ASF1B	0	0	0	0	2	0	0	2
ASGR1	0	0	1	0	0	0	0	0
ASGR2	0	0	0	0	1	0	0	0
ASH1L	127	73	124	122	138	126	106	111
ASH1L-AS1	12	7	16	13	7	14	16	9
ASH2L	109	28	33	54	120	92	54	97
ASIC1	5	3	1	1	3	0	0	0
ASIC2	0	0	0	0	0	0	0	0
ASIC3	0	0	0	0	0	0	1	0
ASIC4	0	0	0	0	0	0	0	0
ASIC5	0	0	0	0	0	0	0	0
ASIP	0	0	1	1	0	0	1	3
ASL	26	14	19	17	56	37	20	22
ASMT	3	2	4	3	0	0	0	1
ASMTL	56	20	28	25	99	103	57	61
ASMTL-AS1	46	26	53	40	28	22	18	26
ASNA1	3	0	2	0	2	1	1	1
ASNS	779	30	82	55	1236	163	125	118
ASNSD1	92	59	61	85	133	178	118	128
ASPA	3	7	18	33	0	16	22	47
ASPDH	0	0	0	0	0	0	0	0
ASPG	0	0	0	0	0	0	0	0
ASPH	585	176	293	337	692	527	367	590
ASPHD1	0	0	0	0	0	0	0	0
ASPHD2	4	2	0	2	0	3	0	1
ASPM	42	0	5	1	32	1	0	0
ASPN	47	2	6	0	45	4	5	3
ASPRV1	0	1	0	4	1	0	1	2
ASPSCR1	29	9	17	15	50	27	17	23
ASRGL1	0	0	0	0	0	0	0	3
ASS1	117	61	159	190	213	259	276	419
ASTE1	28	6	11	12	27	39	12	18
ASTL	0	0	0	0	0	0	0	0
ASTN1	0	0	0	0	0	0	0	0
ASTN2	334	287	568	346	127	149	109	185
ASUN	90	31	30	31	119	46	49	57
ASXL1	26	18	21	18	18	16	11	8
